21:42:34.324186 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1520956:1521120, ack 793, win 501, length 164
21:42:34.324280 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521120:1521388, ack 793, win 501, length 268
21:42:34.324348 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521388:1521552, ack 793, win 501, length 164
21:42:34.324415 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521552:1521716, ack 793, win 501, length 164
21:42:34.324481 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521716:1521880, ack 793, win 501, length 164
21:42:34.324547 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1521880:1522044, ack 793, win 501, length 164
21:42:34.324613 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522044:1522208, ack 793, win 501, length 164
21:42:34.324675 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522208:1522372, ack 793, win 501, length 164
21:42:34.324734 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522372:1522536, ack 793, win 501, length 164
21:42:34.324801 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522536:1522700, ack 793, win 501, length 164
21:42:34.324864 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522700:1522864, ack 793, win 501, length 164
21:42:34.324929 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1522864:1523028, ack 793, win 501, length 164
21:42:34.324987 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523028:1523192, ack 793, win 501, length 164
21:42:34.325048 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523192:1523356, ack 793, win 501, length 164
21:42:34.325108 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523356:1523520, ack 793, win 501, length 164
21:42:34.325169 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523520:1523684, ack 793, win 501, length 164
21:42:34.325226 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523684:1523848, ack 793, win 501, length 164
21:42:34.325284 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1523848:1524012, ack 793, win 501, length 164
21:42:34.325339 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1524012:1524176, ack 793, win 501, length 164
21:42:34.325399 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1524176:1524340, ack 793, win 501, length 164
21:42:34.325506 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1524340:1524504, ack 793, win 501, length 164
21:42:34.325614 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1524504:1524668, ack 793, win 501, length 164
21:42:34.325700 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1524668:1524832, ack 793, win 501, length 164
21:42:34.325795 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1524832:1524996, ack 793, win 501, length 164
21:42:34.325885 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1524996:1525160, ack 793, win 501, length 164
21:42:34.325962 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1525160:1525324, ack 793, win 501, length 164
21:42:34.326026 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1525324:1525488, ack 793, win 501, length 164
21:42:34.326101 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1525488:1525652, ack 793, win 501, length 164
21:42:34.370144 IP 99.229.145.183.50413 > 134.122.47.164.22: Flags [P.], seq 793:829, ack 1510952, win 6203, length 36
21:42:34.370261 IP 134.122.47.164.22 > 99.229.145.183.50413: Flags [P.], seq 1525652:1525816, ack 829, win 501, length 164
21:42:34.370281 IP 99.229.145.183.50413 > 134.122.47.164.22: Flags [P.], seq 829:865, ack 1525652, win 6205, length 36
21:42:34.370334 IP 99.229.145.183.50413 > 134.122.47.164.22: Flags [.], ack 1515380, win 6205, length 0
21:42:34.370338 IP 99.229.145.183.50413 > 134.122.47.164.22: Flags [.], ack 1525652, win 6205, length 0
^C
9653 packets captured
9654 packets received by filter
0 packets dropped by kernel
root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~#
